=======================================================================================
AI DESIGN TYPES DATA FILE - Normal
=======================================================================================

*** This must be the same name as the AI Script file with a _DesignTypes
    appended to it.

New Design Created - 
  A design is created when a new Component or Vehicle Size has been researched 
  after the date the design was created. All Vehicle Sizes as fair game, and any 
  components which are part of the design type.

Vehicle Size Used Requirements - 
  Vehicle Type is correct for this Design Type.
  Have the necessary tech for this Vehicle Size.
  Vehicle Size discovery date is equal to or better than that of the last 
    design for this Design Type.
  Vehicle Size falls within the required Minimum and Maximum range of Tonnage.
  Can support the minimum and maximum required speeds.
    (enough spaces for engines to provide the minimum speed)
    (allows no movement for a Maximum Speed of zero) 
  Does not have any Min Percent requirements for a comp type different
    than the Majority Comp Type.
  Does not have any Max Percent requirements for the Majority Comp Type.


Strategies
  Optimal Firing Range, Don't Get Hurt, Capture Enemy Ships, Capture Planet, 
  Fighter Attack

// STILL NEED:
Roles that each design type can be used for:
Type 1 Role Used in Attack                             := True
Misc Ability 4 Name                             := Shield Regeneration
Misc Ability 4 Spaces Per One                   := 800
Misc Ability 5 Name                             := Combat To Hit Defense Plus
Misc Ability 5 Spaces Per One                   := 10000
Misc Ability 6 Name                             := Emergency Resupply
Misc Ability 6 Spaces Per One                   := 800
    
Name                                            := Mine Layer
Design Type                                     := Mine Layer
Vehicle Type                                    := Ship
Default Strategy                                := Don't Get Hurt
Size Minimum Tonnage                            := 10
Size Maximum Tonnage                            := 5000
Num Must Have At Least 1 Ability                := 1
Must Have Ability 1                             := Lay Mines
Minimum Speed                                   := 3
Desired Speed                                   := 6
Majority Weapon Family Pick 1                   := 0
Majority Weapon Family Pick 2                   := 0
Majority Weapon Family Pick 3                   := 0 
Majority Weapon Family Pick 4                   := 0 
Majority Weapon Family Pick 5                   := 0 
Secondary Weapon Family Pick 1                  := 0
Secondary Weapon Family Pick 2                  := 0
Secondary Weapon Family Pick 3                  := 0
Secondary Weapon Family Pick 4                  := 0
Secondary Weapon Family Pick 5                  := 0
Shields Spaces Per One                          := 200
Armor Spaces Per One                            := 0
Majority Comp Spaces Per One                    := 300
Majority Comp Ability                           := Lay Mines
Secondary Comp Spaces Per One                   := 0
Secondary Comp Ability                          := 
Num Misc Abilities                              := 6
Misc Ability 1 Name                             := Quantum Reactor
Misc Ability 1 Spaces Per One                   := 10000
Misc Ability 2 Name                             := Cloak Level
Misc Ability 2 Spaces Per One                   := 10000
Misc Ability 3 Name                             := Point-Defense
Misc Ability 3 Spaces Per One                   := 800
Misc Ability 4 Name                             := Shield Regeneration
Misc Ability 4 Spaces Per One                   := 800
Misc Ability 5 Name                             := Combat To Hit Defense Plus
Misc Ability 5 Spaces Per One                   := 10000
Misc Ability 6 Name                             := Emergency Resupply
Misc Ability 6 Spaces Per One                   := 800

Name                                            := Recon Satellite
Design Type                                     := Recon Satellite
Vehicle Type                                    := Satellite
Default Strategy                                := Don't Get Hurt
Size Minimum Tonnage                            := 10
Size Maximum Tonnage                            := 5000
Num Must Have At Least 1 Ability                := 1
Must Have Ability 1                             := Sensor Level
Minimum Speed                                   := 0
Desired Speed                                   := 0
Majority Weapon Family Pick 1                   := 0
Majority Weapon Family Pick 2                   := 0
Majority Weapon Family Pick 3                   := 0 
Majority Weapon Family Pick 4                   := 0 
Majority Weapon Family Pick 5                   := 0 
Secondary Weapon Family Pick 1                  := 0
Secondary Weapon Family Pick 2                  := 0
Secondary Weapon Family Pick 3                  := 0
Secondary Weapon Family Pick 4                  := 0
Secondary Weapon Family Pick 5                  := 0
Shields Spaces Per One                          := 100
Armor Spaces Per One                            := 200
Majority Comp Spaces Per One                    := 0
Majority Comp Ability                           := 
Secondary Comp Spaces Per One                   := 0
Secondary Comp Ability                          := 
Num Misc Abilities                              := 6
Misc Ability 1 Name                             := Point-Defense
Misc Ability 1 Spaces Per One                   := 800
Misc Ability 2 Name                             := Cloak Level
Misc Ability 2 Spaces Per One                   := 10000
Misc Ability 3 Name                             := Quantum Reactor
Misc Ability 3 Spaces Per One                   := 10000
Misc Ability 4 Name                             := Combat To Hit Defense Plus
Misc Ability 4 Spaces Per One                   := 10000
Misc Ability 5 Name                             := Shield Regeneration
Misc Ability 5 Spaces Per One                   := 800
Misc Ability 6 Name                             := Scanner Jammer
Misc Ability 6 Spaces Per One                   := 10000

Name                                            := Space Yard Ship
Design Type                                     := Space Yard Ship
Vehicle Type                                    := Ship
Default Strategy                                := Don't Get Hurt
Size Minimum Tonnage                            := 500
Size Maximum Tonnage                            := 5000
Num Must Have At Least 1 Ability                := 1
Must Have Ability 1                             := Space Yard
Minimum Speed                                   := 3
Desired Speed                                   := 6
Majority Weapon Family Pick 1                   := 0
Majority Weapon Family Pick 2                   := 0
Majority Weapon Family Pick 3                   := 0 
Majority Weapon Family Pick 4                   := 0 
Majority Weapon Family Pick 5                   := 0 
Secondary Weapon Family Pick 1                  := 0
Secondary Weapon Family Pick 2                  := 0
Secondary Weapon Family Pick 3                  := 0
Secondary Weapon Family Pick 4                  := 0
Secondary Weapon Family Pick 5                  := 0
Shields Spaces Per One                          := 200
Armor Spaces Per One                            := 300
Majority Comp Spaces Per One                    := 400
Majority Comp Ability                           := Space Yard
Secondary Comp Spaces Per One                   := 0
Secondary Comp Ability                          := 
Num Misc Abilities                              := 6
Misc Ability 1 Name                             := Quantum Reactor
Misc Ability 1 Spaces Per One                   := 10000
Misc Ability 2 Name                             := Cloak Level
Misc Ability 2 Spaces Per One                   := 10000
Misc Ability 3 Name                             := Point-Defense
Misc Ability 3 Spaces Per One                   := 800
Misc Ability 4 Name                             := Shield Regeneration
Misc Ability 4 Spaces Per One                   := 800
Misc Ability 5 Name                             := Combat To Hit Defense Plus
Misc Ability 5 Spaces Per One                   := 10000
Misc Ability 6 Name                             := Emergency Resupply
Misc Ability 6 Spaces Per One                   := 800
Misc Ability 7 Name                             := Supply Storage
Misc Ability 7 Spaces Per One                   := 500

Name                                            := Boarding Ship
Design Type                                     := Boarding Ship
Vehicle Type                                    := Ship
Default Strategy                                := Capture Enemy Ships
Size Minimum Tonnage                            := 10
Size Maximum Tonnage                            := 5000
Num Must Have At Least 1 Ability                := 1
Must Have Ability 1                             := Boarding Attack
Minimum Speed                                   := 4
Desired Speed                                   := 6
Majority Weapon Family Pick 1                   := 0
Majority Weapon Family Pick 2                   := 0
Majority Weapon Family Pick 3                   := 0 
Majority Weapon Family Pick 4                   := 0 
Majority Weapon Family Pick 5                   := 0 
Secondary Weapon Family Pick 1                  := 0
Secondary Weapon Family Pick 2                  := 0
Secondary Weapon Family Pick 3                  := 0
Secondary Weapon Family Pick 4                  := 0
Secondary Weapon Family Pick 5                  := 0
Shields Spaces Per One                          := 250
Armor Spaces Per One                            := 250
Majority Comp Spaces Per One                    := 200
Majority Comp Ability                           := Boarding Attack
Secondary Comp Spaces Per One                   := 0
Secondary Comp Ability                          := 
Num Misc Abilities                              := 11
Misc Ability 1 Name                             := Point-Defense
Misc Ability 1 Spaces Per One                   := 800
Misc Ability 2 Name                             := Cloak Level
Misc Ability 2 Spaces Per One                   := 10000
Misc Ability 3 Name                             := Quantum Reactor
Misc Ability 3 Spaces Per One                   := 10000
Misc Ability 4 Name                             := Combat To Hit Defense Plus
Misc Ability 4 Spaces Per One                   := 10000
Misc Ability 5 Name                             := Combat To Hit Offense Plus
Misc Ability 5 Spaces Per One                   := 10000
Misc Ability 6 Name                             := Multiplex Tracking
Misc Ability 6 Spaces Per One                   := 10000
Misc Ability 7 Name                             := Shield Regeneration
Misc Ability 7 Spaces Per One                   := 800
Misc Ability 8 Name                             := Emergency Resupply
Misc Ability 8 Spaces Per One                   := 800
Misc Ability 9 Name                             := Self-Destruct
Misc Ability 9 Spaces Per One                   := 10000
Misc Ability 10 Name                            := Scanner Jammer
Misc Ability 10 Spaces Per One                  := 10000
Misc Ability 11 Name                            := Supply Storage
Misc Ability 11 Spaces Per One                  := 500

Name                                            := Mine Sweeper
Design Type                                     := Mine Sweeper
Vehicle Type                                    := Ship
Default Strategy                                := Don't Get Hurt
Size Minimum Tonnage                            := 10
Size Maximum Tonnage                            := 5000
Num Must Have At Least 1 Ability                := 1
Must Have Ability 1                             := Mine Sweeping
Minimum Speed                                   := 3
Desired Speed                                   := 6
Majority Weapon Family Pick 1                   := 0
Majority Weapon Family Pick 2                   := 0
Majority Weapon Family Pick 3                   := 0 
Majority Weapon Family Pick 4                   := 0 
Majority Weapon Family Pick 5                   := 0 
Secondary Weapon Family Pick 1                  := 0
Secondary Weapon Family Pick 2                  := 0
Secondary Weapon Family Pick 3                  := 0
Secondary Weapon Family Pick 4                  := 0
Secondary Weapon Family Pick 5                  := 0
Shields Spaces Per One                          := 200
Armor Spaces Per One                            := 300
Majority Comp Spaces Per One                    := 400
Majority Comp Ability                           := Mine Sweeping
Secondary Comp Spaces Per One                   := 0
Secondary Comp Ability                          := 
Num Misc Abilities                              := 7
Misc Ability 1 Name                             := Quantum Reactor
Misc Ability 1 Spaces Per One                   := 10000
Misc Ability 2 Name                             := Cloak Level
Misc Ability 2 Spaces Per One                   := 10000
Misc Ability 3 Name                             := Point-Defense
Misc Ability 3 Spaces Per One                   := 800
Misc Ability 4 Name                             := Shield Regeneration
Misc Ability 4 Spaces Per One                   := 800
Misc Ability 5 Name                             := Combat To Hit Defense Plus
Misc Ability 5 Spaces Per One                   := 10000
Misc Ability 6 Name                             := Emergency Resupply
Misc Ability 6 Spaces Per One                   := 800
Misc Ability 7 Name                             := Supply Storage
Misc Ability 7 Spaces Per One                   := 500

Name                                            := Close Warp Point
Design Type                                     := Close Warp Point
Vehicle Type                                    := Ship
Default Strategy                                := Don't Get Hurt
Size Minimum Tonnage                            := 200
Size Maximum Tonnage                            := 5000
Num Must Have At Least 1 Ability                := 1
Must Have Ability 1                             := Close Warp Point
Minimum Speed                                   := 3
Desired Speed                                   := 6
Majority Weapon Family Pick 1                   := 0
Majority Weapon Family Pick 2                   := 0
Majority Weapon Family Pick 3                   := 0 
Majority Weapon Family Pick 4                   := 0 
Majority Weapon Family Pick 5                   := 0 
Secondary Weapon Family Pick 1                  := 0
Secondary Weapon Family Pick 2                  := 0
Secondary Weapon Family Pick 3                  := 0
Secondary Weapon Family Pick 4                  := 0
Secondary Weapon Family Pick 5                  := 0
Shields Spaces Per One                          := 200
Armor Spaces Per One                            := 300
Majority Comp Spaces Per One                    := 0
Majority Comp Ability                           := 
Secondary Comp Spaces Per One                   := 0
Secondary Comp Ability                          := 
Num Misc Abilities                              := 6
Misc Ability 1 Name                             := Quantum Reactor
Misc Ability 1 Spaces Per One                   := 10000
Misc Ability 2 Name                             := Cloak Level
Misc Ability 2 Spaces Per One                   := 10000
Misc Ability 3 Name                             := Point-Defense
Misc Ability 3 Spaces Per One                   := 800
Misc Ability 4 Name                             := Shield Regeneration
Misc Ability 4 Spaces Per One                   := 800
Misc Ability 5 Name                             := Combat To Hit Defense Plus
Misc Ability 5 Spaces Per One                   := 10000
Misc Ability 6 Name                             := Emergency Resupply
Misc Ability 6 Spaces Per One                   := 800

Name                                            := Create Planet
Design Type                                     := Create Planet
Vehicle Type                                    := Ship
Default Strategy                                := Don't Get Hurt
Size Minimum Tonnage                            := 200
Size Maximum Tonnage                            := 5000
Num Must Have At Least 1 Ability                := 1
Must Have Ability 1                             := Create Planet Size
Minimum Speed                                   := 3
Desired Speed                                   := 6
Majority Weapon Family Pick 1                   := 0
Majority Weapon Family Pick 2                   := 0
Majority Weapon Family Pick 3                   := 0 
Majority Weapon Family Pick 4                   := 0 
Majority Weapon Family Pick 5                   := 0 
Secondary Weapon Family Pick 1                  := 0
Secondary Weapon Family Pick 2                  := 0
Secondary Weapon Family Pick 3                  := 0
Secondary Weapon Family Pick 4                  := 0
Secondary Weapon Family Pick 5                  := 0
Shields Spaces Per One                          := 200
Armor Spaces Per One                            := 300
Majority Comp Spaces Per One                    := 0
Majority Comp Ability                           := 
Secondary Comp Spaces Per One                   := 0
Secondary Comp Ability                          := 
Num Misc Abilities                              := 6
Misc Ability 1 Name                             := Quantum Reactor
Misc Ability 1 Spaces Per One                   := 10000
Misc Ability 2 Name                             := Cloak Level
Misc Ability 2 Spaces Per One                   := 10000
Misc Ability 3 Name                             := Point-Defense
Misc Ability 3 Spaces Per One                   := 800
Misc Ability 4 Name                             := Shield Regeneration
Misc Ability 4 Spaces Per One                   := 800
Misc Ability 5 Name                             := Combat To Hit Defense Plus
Misc Ability 5 Spaces Per One                   := 10000
Misc Ability 6 Name                             := Emergency Resupply
Misc Ability 6 Spaces Per One                   := 800

Name                                            := Destroy Planet
Design Type                                     := Destroy Planet
Vehicle Type                                    := Ship
Default Strategy                                := Don't Get Hurt
Size Minimum Tonnage                            := 200
Size Maximum Tonnage                            := 5000
Num Must Have At Least 1 Ability                := 1
Must Have Ability 1                             := Destroy Planet Size
Minimum Speed                                   := 3
Desired Speed                                   := 6
Majority Weapon Family Pick 1                   := 0
Majority Weapon Family Pick 2                   := 0
Majority Weapon Family Pick 3                   := 0 
Majority Weapon Family Pick 4                   := 0 
Majority Weapon Family Pick 5                   := 0 
Secondary Weapon Family Pick 1                  := 0
Secondary Weapon Family Pick 2                  := 0
Secondary Weapon Family Pick 3                  := 0
Secondary Weapon Family Pick 4                  := 0
Secondary Weapon Family Pick 5                  := 0
Shields Spaces Per One                          := 200
Armor Spaces Per One                            := 300
Majority Comp Spaces Per One                    := 0
Majority Comp Ability                           := 
Secondary Comp Spaces Per One                   := 0
Secondary Comp Ability                          := 
Num Misc Abilities                              := 6
Misc Ability 1 Name                             := Quantum Reactor
Misc Ability 1 Spaces Per One                   := 10000
Misc Ability 2 Name                             := Cloak Level
Misc Ability 2 Spaces Per One                   := 10000
Misc Ability 3 Name                             := Point-Defense
Misc Ability 3 Spaces Per One                   := 800
Misc Ability 4 Name                             := Shield Regeneration
Misc Ability 4 Spaces Per One                   := 800
Misc Ability 5 Name                             := Combat To Hit Defense Plus
Misc Ability 5 Spaces Per One                   := 10000
Misc Ability 6 Name                             := Emergency Resupply
Misc Ability 6 Spaces Per One                   := 800

Name                                            := Create Star
Design Type                                     := Create Star
Vehicle Type                                    := Ship
Default Strategy                                := Don't Get Hurt
Size Minimum Tonnage                            := 300
Size Maximum Tonnage                            := 5000
Num Must Have At Least 1 Ability                := 1
Must Have Ability 1                             := Create Star
Minimum Speed                                   := 3
Desired Speed                                   := 6
Majority Weapon Family Pick 1                   := 0
Majority Weapon Family Pick 2                   := 0
Majority Weapon Family Pick 3                   := 0 
Majority Weapon Family Pick 4                   := 0 
Majority Weapon Family Pick 5                   := 0 
Secondary Weapon Family Pick 1                  := 0
Secondary Weapon Family Pick 2                  := 0
Secondary Weapon Family Pick 3                  := 0
Secondary Weapon Family Pick 4                  := 0
Secondary Weapon Family Pick 5                  := 0
Shields Spaces Per One                          := 200
Armor Spaces Per One                            := 300
Majority Comp Spaces Per One                    := 0
Majority Comp Ability                           := 
Secondary Comp Spaces Per One                   := 0
Secondary Comp Ability                          := 
Num Misc Abilities                              := 6
Misc Ability 1 Name                             := Quantum Reactor
Misc Ability 1 Spaces Per One                   := 10000
Misc Ability 2 Name                             := Cloak Level
Misc Ability 2 Spaces Per One                   := 10000
Misc Ability 3 Name                             := Point-Defense
Misc Ability 3 Spaces Per One                   := 800
Misc Ability 4 Name                             := Shield Regeneration
Misc Ability 4 Spaces Per One                   := 800
Misc Ability 5 Name                             := Combat To Hit Defense Plus
Misc Ability 5 Spaces Per One                   := 10000
Misc Ability 6 Name                             := Emergency Resupply
Misc Ability 6 Spaces Per One                   := 800

Name                                            := Destroy Star
Design Type                                     := Destroy Star
Vehicle Type                                    := Ship
Default Strategy                                := Don't Get Hurt
Size Minimum Tonnage                            := 350
Size Maximum Tonnage                            := 5000
Num Must Have At Least 1 Ability                := 1
Must Have Ability 1                             := Destroy Star
Minimum Speed                                   := 3
Desired Speed                                   := 6
Majority Weapon Family Pick 1                   := 0
Majority Weapon Family Pick 2                   := 0
Majority Weapon Family Pick 3                   := 0 
Majority Weapon Family Pick 4                   := 0 
Majority Weapon Family Pick 5                   := 0 
Secondary Weapon Family Pick 1                  := 0
Secondary Weapon Family Pick 2                  := 0
Secondary Weapon Family Pick 3                  := 0
Secondary Weapon Family Pick 4                  := 0
Secondary Weapon Family Pick 5                  := 0
Shields Spaces Per One                          := 200
Armor Spaces Per One                            := 300
Majority Comp Spaces Per One                    := 0
Majority Comp Ability                           := 
Secondary Comp Spaces Per One                   := 0
Secondary Comp Ability                          := 
Num Misc Abilities                              := 6
Misc Ability 1 Name                             := Quantum Reactor
Misc Ability 1 Spaces Per One                   := 10000
Misc Ability 2 Name                             := Cloak Level
Misc Ability 2 Spaces Per One                   := 10000
Misc Ability 3 Name                             := Point-Defense
Misc Ability 3 Spaces Per One                   := 800
Misc Ability 4 Name                             := Shield Regeneration
Misc Ability 4 Spaces Per One                   := 800
Misc Ability 5 Name                             := Combat To Hit Defense Plus
Misc Ability 5 Spaces Per One                   := 10000
Misc Ability 6 Name                             := Emergency Resupply
Misc Ability 6 Spaces Per One                   := 800

Name                                            := Create Storm
Design Type                                     := Create Storm
Vehicle Type                                    := Ship
Default Strategy                                := Don't Get Hurt
Size Minimum Tonnage                            := 200
Size Maximum Tonnage                            := 5000
Num Must Have At Least 1 Ability                := 1
Must Have Ability 1                             := Create Storm
Minimum Speed                                   := 3
Desired Speed                                   := 6
Majority Weapon Family Pick 1                   := 0
Majority Weapon Family Pick 2                   := 0
Majority Weapon Family Pick 3                   := 0 
Majority Weapon Family Pick 4                   := 0 
Majority Weapon Family Pick 5                   := 0 
Secondary Weapon Family Pick 1                  := 0
Secondary Weapon Family Pick 2                  := 0
Secondary Weapon Family Pick 3                  := 0
Secondary Weapon Family Pick 4                  := 0
Secondary Weapon Family Pick 5                  := 0
Shields Spaces Per One                          := 200
Armor Spaces Per One                            := 300
Majority Comp Spaces Per One                    := 0
Majority Comp Ability                           := 
Secondary Comp Spaces Per One                   := 0
Secondary Comp Ability                          := 
Num Misc Abilities                              := 6
Misc Ability 1 Name                             := Quantum Reactor
Misc Ability 1 Spaces Per One                   := 10000
Misc Ability 2 Name                             := Cloak Level
Misc Ability 2 Spaces Per One                   := 10000
Misc Ability 3 Name                             := Point-Defense
Misc Ability 3 Spaces Per One                   := 800
Misc Ability 4 Name                             := Shield Regeneration
Misc Ability 4 Spaces Per One                   := 800
Misc Ability 5 Name                             := Combat To Hit Defense Plus
Misc Ability 5 Spaces Per One                   := 10000
Misc Ability 6 Name                             := Emergency Resupply
Misc Ability 6 Spaces Per One                   := 800

Name                                            := Destroy Storm
Design Type                                     := Destroy Storm
Vehicle Type                                    := Ship
Default Strategy                                := Don't Get Hurt
Size Minimum Tonnage                            := 200
Size Maximum Tonnage                            := 5000
Num Must Have At Least 1 Ability                := 1
Must Have Ability 1                             := Destroy Storm
Minimum Speed                                   := 3
Desired Speed                                   := 6
Majority Weapon Family Pick 1                   := 0
Majority Weapon Family Pick 2                   := 0
Majority Weapon Family Pick 3                   := 0 
Majority Weapon Family Pick 4                   := 0 
Majority Weapon Family Pick 5                   := 0 
Secondary Weapon Family Pick 1                  := 0
Secondary Weapon Family Pick 2                  := 0
Secondary Weapon Family Pick 3                  := 0
Secondary Weapon Family Pick 4                  := 0
Secondary Weapon Family Pick 5                  := 0
Shields Spaces Per One                          := 200
Armor Spaces Per One                            := 300
Majority Comp Spaces Per One                    := 0
Majority Comp Ability                           := 
Secondary Comp Spaces Per One                   := 0
Secondary Comp Ability                          := 
Num Misc Abilities                              := 6
Misc Ability 1 Name                             := Quantum Reactor
Misc Ability 1 Spaces Per One                   := 10000
Misc Ability 2 Name                             := Cloak Level
Misc Ability 2 Spaces Per One                   := 10000
Misc Ability 3 Name                             := Point-Defense
Misc Ability 3 Spaces Per One                   := 800
Misc Ability 4 Name                             := Shield Regeneration
Misc Ability 4 Spaces Per One                   := 800
Misc Ability 5 Name                             := Combat To Hit Defense Plus
Misc Ability 5 Spaces Per One                   := 10000
Misc Ability 6 Name                             := Emergency Resupply
Misc Ability 6 Spaces Per One                   := 800

Name                                            := Create Black Hole
Design Type                                     := Create Black Hole
Vehicle Type                                    := Ship
Default Strategy                                := Don't Get Hurt
Size Minimum Tonnage                            := 500
Size Maximum Tonnage                            := 5000
Num Must Have At Least 1 Ability                := 1
Must Have Ability 1                             := Create Black Hole
Minimum Speed                                   := 3
Desired Speed                                   := 6
Majority Weapon Family Pick 1                   := 0
Majority Weapon Family Pick 2                   := 0
Majority Weapon Family Pick 3                   := 0 
Majority Weapon Family Pick 4                   := 0 
Majority Weapon Family Pick 5                   := 0 
Secondary Weapon Family Pick 1                  := 0
Secondary Weapon Family Pick 2                  := 0
Secondary Weapon Family Pick 3                  := 0
Secondary Weapon Family Pick 4                  := 0
Secondary Weapon Family Pick 5                  := 0
Shields Spaces Per One                          := 200
Armor Spaces Per One                            := 300
Majority Comp Spaces Per One                    := 0
Majority Comp Ability                           := 
Secondary Comp Spaces Per One                   := 0
Secondary Comp Ability                          := 
Num Misc Abilities                              := 6
Misc Ability 1 Name                             := Quantum Reactor
Misc Ability 1 Spaces Per One                   := 10000
Misc Ability 2 Name                             := Cloak Level
Misc Ability 2 Spaces Per One                   := 10000
Misc Ability 3 Name                             := Point-Defense
Misc Ability 3 Spaces Per One                   := 800
Misc Ability 4 Name                             := Shield Regeneration
Misc Ability 4 Spaces Per One                   := 800
Misc Ability 5 Name                             := Combat To Hit Defense Plus
Misc Ability 5 Spaces Per One                   := 10000
Misc Ability 6 Name                             := Emergency Resupply
Misc Ability 6 Spaces Per One                   := 800

Name                                            := Destroy Black Hole
Design Type                                     := Destroy Black Hole
Vehicle Type                                    := Ship
Default Strategy                                := Don't Get Hurt
Size Minimum Tonnage                            := 500
Size Maximum Tonnage                            := 5000
Num Must Have At Least 1 Ability                := 1
Must Have Ability 1                             := Destroy Black Hole
Minimum Speed                                   := 3
Desired Speed                                   := 6
Majority Weapon Family Pick 1                   := 0
Majority Weapon Family Pick 2                   := 0
Majority Weapon Family Pick 3                   := 0 
Majority Weapon Family Pick 4                   := 0 
Majority Weapon Family Pick 5                   := 0 
Secondary Weapon Family Pick 1                  := 0
Secondary Weapon Family Pick 2                  := 0
Secondary Weapon Family Pick 3                  := 0
Secondary Weapon Family Pick 4                  := 0
Secondary Weapon Family Pick 5                  := 0
Shields Spaces Per One                          := 200
Armor Spaces Per One                            := 300
Majority Comp Spaces Per One                    := 0
Majority Comp Ability                           := 
Secondary Comp Spaces Per One                   := 0
Secondary Comp Ability                          := 
Num Misc Abilities                              := 6
Misc Ability 1 Name                             := Quantum Reactor
Misc Ability 1 Spaces Per One                   := 10000
Misc Ability 2 Name                             := Cloak Level
Misc Ability 2 Spaces Per One                   := 10000
Misc Ability 3 Name                             := Point-Defense
Misc Ability 3 Spaces Per One                   := 800
Misc Ability 4 Name                             := Shield Regeneration
Misc Ability 4 Spaces Per One                   := 800
Misc Ability 5 Name                             := Combat To Hit Defense Plus
Misc Ability 5 Spaces Per One                   := 10000
Misc Ability 6 Name                             := Emergency Resupply
Misc Ability 6 Spaces Per One                   := 800

Name                                            := Create Nebulae
Design Type                                     := Create Nebulae
Vehicle Type                                    := Ship
Default Strategy                                := Don't Get Hurt
Size Minimum Tonnage                            := 500
Size Maximum Tonnage                            := 5000
Num Must Have At Least 1 Ability                := 1
Must Have Ability 1                             := Create Nebulae
Minimum Speed                                   := 3
Desired Speed                                   := 6
Majority Weapon Family Pick 1                   := 0
Majority Weapon Family Pick 2                   := 0
Majority Weapon Family Pick 3                   := 0 
Majority Weapon Family Pick 4                   := 0 
Majority Weapon Family Pick 5                   := 0 
Secondary Weapon Family Pick 1                  := 0
Secondary Weapon Family Pick 2                  := 0
Secondary Weapon Family Pick 3                  := 0
Secondary Weapon Family Pick 4                  := 0
Secondary Weapon Family Pick 5                  := 0
Shields Spaces Per One                          := 200
Armor Spaces Per One                            := 300
Majority Comp Spaces Per One                    := 0
Majority Comp Ability                           := 
Secondary Comp Spaces Per One                   := 0
Secondary Comp Ability                          := 
Num Misc Abilities                              := 6
Misc Ability 1 Name                             := Quantum Reactor
Misc Ability 1 Spaces Per One                   := 10000
Misc Ability 2 Name                             := Cloak Level
Misc Ability 2 Spaces Per One                   := 10000
Misc Ability 3 Name                             := Point-Defense
Misc Ability 3 Spaces Per One                   := 800
Misc Ability 4 Name                             := Shield Regeneration
Misc Ability 4 Spaces Per One                   := 800
Misc Ability 5 Name                             := Combat To Hit Defense Plus
Misc Ability 5 Spaces Per One                   := 10000
Misc Ability 6 Name                             := Emergency Resupply
Misc Ability 6 Spaces Per One                   := 800

Name                                            := Destroy Nebulae
Design Type                                     := Destroy Nebulae
Vehicle Type                                    := Ship
Default Strategy                                := Don't Get Hurt
Size Minimum Tonnage                            := 500
Size Maximum Tonnage                            := 5000
Num Must Have At Least 1 Ability                := 1
Must Have Ability 1                             := Destroy Nebulae
Minimum Speed                                   := 3
Desired Speed                                   := 6
Majority Weapon Family Pick 1                   := 0
Majority Weapon Family Pick 2                   := 0
Majority Weapon Family Pick 3                   := 0 
Majority Weapon Family Pick 4                   := 0 
Majority Weapon Family Pick 5                   := 0 
Secondary Weapon Family Pick 1                  := 0
Secondary Weapon Family Pick 2                  := 0
Secondary Weapon Family Pick 3                  := 0
Secondary Weapon Family Pick 4                  := 0
Secondary Weapon Family Pick 5                  := 0
Shields Spaces Per One                          := 200
Armor Spaces Per One                            := 300
Majority Comp Spaces Per One                    := 0
Majority Comp Ability                           := 
Secondary Comp Spaces Per One                   := 0
Secondary Comp Ability                          := 
Num Misc Abilities                              := 6
Misc Ability 1 Name                             := Quantum Reactor
Misc Ability 1 Spaces Per One                   := 10000
Misc Ability 2 Name                             := Cloak Level
Misc Ability 2 Spaces Per One                   := 10000
Misc Ability 3 Name                             := Point-Defense
Misc Ability 3 Spaces Per One                   := 800
Misc Ability 4 Name                             := Shield Regeneration
Misc Ability 4 Spaces Per One                   := 800
Misc Ability 5 Name                             := Combat To Hit Defense Plus
Misc Ability 5 Spaces Per One                   := 10000
Misc Ability 6 Name                             := Emergency Resupply
Misc Ability 6 Spaces Per One                   := 800

Name                                            := Kamikaze Attack Ship
Design Type                                     := Kamikaze Attack Ship
Vehicle Type                                    := Ship
Default Strategy                                := Ram
Size Minimum Tonnage                            := 10
Size Maximum Tonnage                            := 5000
Num Must Have At Least 1 Ability                := 1
Must Have Ability 1                             := Weapon
Minimum Speed                                   := 4
Desired Speed                                   := 6
Majority Weapon Family Pick 1                   := 36
Majority Weapon Family Pick 2                   := 9
Majority Weapon Family Pick 3                   := 1 
Majority Weapon Family Pick 4                   := 25 
Majority Weapon Family Pick 5                   := 0 
Secondary Weapon Family Pick 1                  := 0
Secondary Weapon Family Pick 2                  := 0
Secondary Weapon Family Pick 3                  := 0
Secondary Weapon Family Pick 4                  := 0
Secondary Weapon Family Pick 5                  := 0
Shields Spaces Per One                          := 200
Armor Spaces Per One                            := 200
Majority Comp Spaces Per One                    := 200
Majority Comp Ability                           := Weapon
Secondary Comp Spaces Per One                   := 0
Secondary Comp Ability                          := 
Num Misc Abilities                              := 11
Misc Ability 1 Name                             := Point-Defense
Misc Ability 1 Spaces Per One                   := 800
Misc Ability 2 Name                             := Cloak Level
Misc Ability 2 Spaces Per One                   := 10000
Misc Ability 3 Name                             := Quantum Reactor
Misc Ability 3 Spaces Per One                   := 10000
Misc Ability 4 Name                             := Combat To Hit Defense Plus
Misc Ability 4 Spaces Per One                   := 10000
Misc Ability 5 Name                             := Combat To Hit Offense Plus
Misc Ability 5 Spaces Per One                   := 10000
Misc Ability 6 Name                             := Multiplex Tracking
Misc Ability 6 Spaces Per One                   := 10000
Misc Ability 7 Name                             := Shield Regeneration
Misc Ability 7 Spaces Per One                   := 800
